ID,kategori,isi_laporan,sentimen
1,Fisik,Ibu saya sering pingsan dipukuli oleh ayah sampai berdarah-darah,High
2,Psikis,"Sejak kecil, ayah saya tidak menyukai penampilan saya. Warna kulit dan wajah saya berbeda dengan keluarga yang lain. Ayah saya sangat membenci saya dan memaksa saya harus melakukan operasi plastik ketika sudah besar nanti.",High
3,Seksual,Pagi tadi saya iseng mengunggah sebuah foto selfi di internet. Lalu saya dapat kabar kalau teman kuliah saya melakukan masturbasi sambil melihat foto selfie saya. saya sangat takut,High
4,Seksual,ANAK SAYA DIGERAYANGI OLEH LAKI-LAKI TIDAK DIKENAL SAAT PULANG SEKOLAH. SAAT DISELIDIKI TERNYATA LAKI-LAKI TERSEBUT ADALAH ALUMNI SEKOLAHNYA. ANAK SAYA SANGAT TRAUMA SEKARANG,High
5,Fisik,Ada kasus pencabulan di SLB dekat rumah. Belum tertangani dengan baik sampai sekarang karena kasus masih sering terjadi,High
6,Seksual,Saya menemukan seorang anak SD yang dipegang-pegang badannya sama staf di sekolahnya,High
7,Psikis,"Papa aku kalau ngomong suka kasar banget. Aku dikatain idiot lah, bego lah, goblok lah, anak gatau diuntung. Sakit sekali dengarnya. Ini aku nulis juga sambil nangis. Aku harap ada penyelesaian buat papa aku karena aku ga berani untuk bilang",Low
8,Fisik,"Sering terdengar teriakan di rumah tetangga saya. Setelah ditelusuri ternyata anaknya sering disiksa oleh ibunya. Dia disiram air panas, bibirnya diberi balsam, dan sering mendapatkan kekerasan fisik",High
9,Seksual,Dosen saya mengiming-imingi nilai besar jika mau berhubungan badan dengannya,High
10,Psikis,Saya benci dengan ibu saya karena dia selalu membuat kepercayaan diri saya hilang.,Low
11,Seksual,Saya sering dipaksa melakukan hubungan badan dengan om saya,High
12,Fisik,Adik saya sering dipukul temannya sampai cacat fisik,High
13,penelantaran,Saya diharuskan bekerja oleh bapak dari pagi sampai sore dan hanya diberi makan satu kali dalam sehari,High
14,Psikis,Suami teman saya sering merendahkan fisik teman saya setelah melahirkan,Low
15,Fisik,Ibu selalu ngancem bunuh aku kalau kerjanya ga bener,High
16,Psikis,Anak tetangga sering mengeluh dipaksa belajar oleh kedua orang tuanya. Biasanya ia hanya istirahat untuk makan. Dia dilarang bermain sama teman-temannya,High
17,Fisik,Anak saya magang di hotel melebihi jam kerja.. sehari bisa 10 jam sehari,Low
18,Seksual,ANAK SAYA PEREMPUAN DIPERLAKUKAN SECARA TIDAK PANTAS OLEH BOSNYA. TUBUHNYA DIRABA RABA SECARA TIDAK BERMORAL!,High
19,Psikis,Kakak saya dan pacarnya sering menertawakan saya karena saya jelek,Low
20,Fisik,tetangga saya suka menganiaya bayinya jika bayinya berisik. Bayinya sering terluka,High
21,Seksual,Orang tua saya menjual saya pada lelaki hidung belang untuk menjadikan saya alat penghasil uang,High
22,Psikis,Suami saya suka melampiaskan kemarahannya dengan saya dengan menggunakan kata umpatan yang sangat kasar,Low
23,penelantaran,Saya melihat seorang ibu di daerah x meninggalkan sebuah kardus mencurigakan. Keesokkan harinya ada kabar bahwa isi kardus tersebuat adalah seorang anak bayi,Low
24,penelantaran,Ibu saya meninggalkan rumah dan tidak pernah pulang kembali ke rumah,High
25,Eksploitasi,Tetangga saya setiap malam membawa orang kerumahnya dan setelah itu orang yang dibawa tidak pernah terlihat lagi,High
26,trafficking,"bapak dan ibu, saat ini saya dipaksa bekerja di daerah X dan merupakan korban dari perdagangan manusia",High
27,Fisik,Adik saya tuna rungu dan sering mendapatkan perlakuan tidak menyenangkan oleh teman-teman sekolahnya. Dia sering ditendang dan dipukuli,High
28,Seksual,Kejadian pencabulan oleh anak dibawah umur terjadi siang tadi di dekat rumah saya alamatnya gang B no 4,High
29,Fisik,saya kerap kali dipukuli hingga lebam oleh boss jika tidak menuruti permintaannya diluar pekerjaan,High
30,Fisik,Teman saya sering dipukuli hingga memar oleh pacarnya ketika sedang emosi,High
31,Fisik,Tetangga saya menggunakan narkoba. Dia sering menganiaya anak-anaknya kalau sedang mabuk,High
32,Psikis,Bapak saya suka mengintimidasi ibu karena keluarga ibu berasal dari keluarga tidak mampu,Low
33,Seksual,Saya sering menemukan kasus pencabulan pada anak-anak di gang sebelah,High
34,Seksual,Anak perempuan saya diperkosa oleh staff sekolah X!,High
35,Fisik,"Ibu saya memiliki kelainan mental, oleh karena itu dia sering memukul dan melakukan kekerasan fisik lainnya pada saya. Saya tidak pernah mendapat kasih sayang dari seorang ibu :)",High
36,Fisik,Tetangga saya sering memukul anaknya jika nakal. Padahal anaknya masih balita,High
37,Seksual,Biadab sekali perilaku tetangga saya. Anak saya masih berumur 14 tahun tapi dia habis diperkosa oleh tetangga saya ini. Saya menangis setiap kali mendengar anak saya mengeluh kesakitan,High
38,Seksual,"Saya melihat kejanggalan yang ada di anak tetangga sya. Ternyata dia pernah diperkosa oleh beberapa orang di sekolahnya. Dia terlihat sangat trauma, padahal umurnya masih 12 tahun",High
39,Psikis,Suami saya jarang pulang dan tidak memberikan saya nafkah. Akhirnya beredar gosip di kalangan tetangga dan saya merasa stress,Low
40,Psikis,"Teman saya albino, dia sering kali dibully oleh teman-temannya. Dia sering dipandang rendah, dikucilkan, dan dipermalukan. Saya tidak berani membelanya karena saya pasti akan dibully juga",Low
41,Seksual,"Aku masih SMP, kemarin kakak kelasku melecehkan aku dengan merobek bajuku dan menyibakkan rokku untuk ditertawakan di depan teman-temannya. Aku sangat malu",Low
42,Fisik,Saya selalu dipukul dengan benda tumpul setiap melakukan sebuah kesalahan kecil oleh ayah saya,High
43,Psikis,Aku sering dipanggil monyet sama temen-temen karena bulu di kulit aku lebat. Sakit hati banget dengernya dan aku juga nangis nulis ini. Aku gatau harus gimana buat ngelawan mereka,Low
44,Seksual,Perlakuan om saya pada saya terkadang sering bercanda. Namun saya tidak merasa itu bercanda karena dia sering memegang bagian privat saya seperti dada dan bokong,High
45,Fisik,"Menantu saya sangat kasar terhadap saya. Dia sering bermain tangan seperti memukuli saya, tapi saya tidak berani membicarakan ini kepada anak saya (suaminya)",High
46,Seksual,Kemarin saya habis dibegal bokong di dekat rumah. Saya sangat malu dan menangis seharian,High
47,Fisik,Kemarin di halte saya liat tetangga saya yang perempuan dianiaya suaminya di publik. Dipukuli hingga pingsan,High
48,Psikis,"Biasanya aku selalu bareng ibu, tapi semenjak ibu ditinggal ayah tanpa kejelasan, ibu jadi mudah stress dan ngelampiasin semua emosinya ke aku.. aku sedih dan gatau harus bantu gimana.",Low
49,Psikis,"Beberapa hari yang lalu, saya melihat seorang wanita menampar nenek di kereta karena tidak mau memberikan kursinya kepadanya",Low
50,Seksual,Saat pulang kerja sekelompok pria di dekat rumah saya memaksa saya dan saya disetubuhi oleh lebih dari satu orang,High
51,Psikis,"Suami saya terus-terusan mabuk dan berjudi sedangkan saya harus kerja keras cari uang. Kalau sudah mabuk dia pasti melampiaskan emosinya pada saya dengan mengatai saya anjing, babi",Low
52,Fisik,Anak saya ketika main sering sekali disiram air comberan jika berisik oleh tetangga,Low
53,Seksual,Saya tidak pernah mau jika diajak berhubungan badan dengan pacar. Suatu hari dia memaksa saya dan mengambil beberapa gambar. Dia mulai menyebarkan gamabr tersebut pada grup teman-temannya. Saya sangat kacau dan takut,High
54,Fisik,Ayah sering banget mukulin ibu dan main tangan,High
55,penelantaran,saya menemukan bayi di bawah flyover jalan x,Low
56,Seksual,SAYA INGIN MELAPOR BAHWA ANAK SAYA DILECEHKAN DAN DIPERKOSA OLEH TETANGGA SAYA. ALAMATNYA BERADA DI JALAN MERPATI TENGGARA 1,High
57,Seksual,Bapak saya sering memperkosa wanita ketika mereka mabuk. Saya sangat takut,High
58,Seksual,"Teman saya trauma karena saat pulang sekolah, payudaranya dipegang orang tidak dikenal",High
59,Psikis,"Orang tua saya kerap kali bertengkar dan mengatai saya dengan kata-kata yang menyakitkan seperti iblis, anjing, babi, dan kata kasar lainnya.",Low
60,Fisik,"Saya seorang istri dengan suami yang kasar. Tidak segan-segan dia memukul saya atau melempar benda ke saya, dan itu dilakukan di depan anak-anak",High
61,Psikis,Suami saya sering berpergian tanpa informasi dan mengatai saya ketika sedang emosi. Saya tidak merasa disayang maupun dicintai,Low
62,Psikis,Saya melihat ada pembullyan terhadap suatu kelompok ras di gang bunga nomor 7,Low
63,Seksual,Papa saya suka memegang dada dan bagian bawah wanita di kantornya,High
64,Psikis,Kemarin tetangga saya mempermalukan anak temannya dengan tindakan rasisme. Dia menghina anak tersebut berdasarkan warna kulit yang berbeda dengan ibunya.,Low
65,Seksual,Om saya sering melakukan pelecehan seksual pada saya,High
66,Psikis,"Ibu selalu maksa aku untuk belajar dan belajar. Kalau tidak belajar satu hari, akan dibangunkan tengah malam dan tidak diberi makan..",High
67,Fisik,Kapanya keluargaku harmonis? ayah dan ibu kalau emosi pasti mukulin aku,High
68,Seksual,saya ingin melaporkan di SD X seorang guru telah menyodomi muridnya secara paksa,High
69,Fisik,Teman adik saya sering dibully jelek dan dicubit oleh teman sekolahnya tanpa alasan yang jelas,Low
70,penelantaran,adik saya dibuang ke jalanan oleh ibu karena tidak bisa memberi makan,High
71,Psikis,Beberapa hari lalu sekolah A memarahi murid dengan membawa-bawa ras. Apakah pantas sekolah TK berbuat demikian?,Low
72,Fisik,"Apakah pantas anak umur 9 tahun kls 4 SD cuma karna bercanda harus menerima hukuman fisik,ini sedang aku alami anaku mendapat kekerasan fisik dari gurunya sekarang dia g mau sekolah lg.",High
73,Fisik,Kalau papah emosi biasanya main tangan sama aku,Low
74,penelantaran,Mama saya meninggalkan saya dan adik sendirian di rumah dan tidak pernah pulang lagi,High
75,Seksual,Saya ingin melaporkan kejadian pemerkosaaan yang dilakukan oleh teman saya kepada adik saya. Saat ini adik saya mengalami trauma,High
76,Seksual,tolong ibu saya dipaksa dan diperkosa oleh rentenir yang meminjamkan uang karena belum bisa mengembalikan uang yang dipinjam untuk biaya saya berobat,High
77,Fisik,Ayah dan ibu bersekongkol menyiram saya dengan air panas kalau saya nakal. Kulit saya sekarang jadi sangat sensitif dan luka-luka,High
78,trafficking,"selamat malam, barusan saya melihat sekelompok orang mencurigakan yang membawa segerombolan anak ke dalam mobil dengan plat BHigh456XYZ",High
79,Seksual,Anak tetangga saya pernah diperkosa oleh ketua RT. Saat itu umurnya masih 14 tahun. Mohon diusut,High
80,Psikis,Suami saya hingga sekarang tidak memberikan saya nafkah. Dia juga mengancam saya setiap harinya untuk mencari uang.,Low
81,Psikis,Suami saya sudah tidak menafkahi saya semenjak dia pergi ngantor keluar kota. Setelah saya dengar dia ternyata punya istri simpanan di luar kota. Sakit sekali dengarnya. Padahal saya punya 2 anak dengan dia,Low
82,Psikis,Saya sudah capek dengan perilaku ibu saya yang abusive. Dia tidak pernah sekalipun memberikan rasa kasih sayang pada saya. Sejak kecil saya diasuh oleh nenek. Ibu saya membenci saya karena mengingatkan pada bapak. Bapak sudah lama meninggalkan ibu sejak saya lahir,High
83,Seksual,tolong bantu saya melaporkan bapak x yang telah melakukan pemerkosaan terhadap kakak saya hingga mengalami trauma dan penyakit mental,High
84,penelantaran,tolong ada anak yang ditinggal pergi oleh ayahnya yang tidak bertanggungjawab di daerah x,High
85,Fisik,Ayah suka mukul orangnya. Dia bisa mukul seluruh keluarganya tanpa terkecuali,High
86,penelantaran,Orangtua saya melarang saya untuk pergi bersekolah dan mengharuskan saya untuk mengamen di jalanan,High
87,Seksual,"Tolong, ibu saya diperkosa oleh segerombolan pencuri. Mentalnya hancur",High
88,Seksual,"Ibu saya terus mengancam saya mencari uang, saya dipaksa menjadi PSK hingga sekarang",High
89,Fisik,"Om saya sudah bercerai dengan istrinya, dan ia menahan istrinya untuk bertemu dengan anak-anaknya, padahal anak-anaknya sering disiksa",High
90,Fisik,Saya sering lebam karena dipukuli ayah,High
91,Fisik,"Orang tua saya sangat keras. Mereka suka memukuli saya dengan sapu lidi dan gesper, makanya saya sering kabur dari rumah. Tapi mereka pasti memaksa saya untuk pulang, saya tidak berani..",Low
92,Psikis,Orang tua saya sering memaksa saya untuk memakai pakaian laki-laki padahal saya adalah seorang perempuan,High
93,Seksual,Kemarin saya mencoba mencoba mendidik adik saya yang berumur 9 tahun tentang pendidikan seks. Dia mengaku pernah diperkosa oleh gurunya dan sangat takut untuk bercerita,High
94,Fisik,"Saya berumur 14 tahun, sering mendapat kekerasan fisik oleh orang tua ketika mereka sedang emosi",High
95,Fisik,Keluarga saya baik dari sisi ayah maupun ibu suka menganiaya saya. Mereka bagaikan kompak ingin saya lenyap dari dunia ini,High
96,Fisik,Om saya sering memukul tante saya ketika sedang mabuk dan kalah judi sampai tante pingsan,High
97,Seksual,Aku benci banget sama ayah yang suka megang bagian privat aku. padahal aku udah mau SMA tapi dia mesum.,High
98,Psikis,Ayah sering sekali mencubit dan mengatai aku bodoh,Low
99,Psikis,"Pacar saya ini cantik. Mungkin karena itu dia dibully oleh teman sekelasnya, apalagi tahu bahwa ia ternyata memiliki pacar. Teman-temannya memandang pacar saya dengan tatapan tidak suka dan kerap kali merendahkannya dengan mengatakan ""cantik doang gaada otak"" padahal pacar saya sering masuk rangking.",Low
100,Seksual,"Saat ini kakak saya sedang merantau dan ngekos. Saat melihat di dalam kamarnya, saya menemukan banyak celana dalam wanita. Ketika saya tanya di kosannya apakah ada kasus kehilangan celana dalam,mereka mengiyakan. Saya curiga kakak saya yang melakukannya",Low
101,penelantaran,Saya mendengar suara bayi di dalam mobil yang terkunci dan butuh bantuan sekarang juga,High
102,Psikis,Suami saya tiba-tiba menghilang tanpa berita apapun dan kembali dengan seorang wanita. Ia kembali untuk menceraikan saya. Saya stress memikirkan menafkahi anak saya,Low
103,Fisik,Saya sering ditendang dan dibuli teman-teman dengan disiram air got dan dimintai uang setiap pulang sekolah,High
104,Psikis,Saya sering dibanding-bandingkan oleh ibu saya dengan orang lain,Low
105,Seksual,Paman saya memaksa saya untuk membuka seluruh pakaian saya di depannya dan mulai memainkan alat kelaminnya,High
106,Psikis,Om aku suka berbuat kasar pada mama,Low
107,Seksual,Kakak saya sering melakukan pencabulan terhadap pacarnya,High
108,Psikis,Pagi tadi ada tetangga saya yang berteriak pada anaknya memaki-maki dengan sebutan anak setan sampai anak itu menangis sesenggukan,Low
109,Seksual,Tante saya sering mendapatkan kekerasan seksual oleh ayah saya,High
110,Fisik,Kejadiannya baru terjadi minggu lalu. saya lihat tetangga yaitu seorang IRT sedang memukuli anaknya setelah mengambil rapot,High
111,Fisik,"Saya ingin mengambil anak saya dari mantan suami saya, karena mantan suami saya ini pengangguran dan suka nyiksa anak saya sampe dipukulin",High
112,penelantaran,saat ini saya sakit-sakitan di rumah dan orangtua saya tidak mau membawa saya ke dokter ataupun rumah sakit,High
113,Fisik,"Anak tetangga saya dengan mamanya dipukulin dan dibanting di depan banyak orang. Tapi nggak ada satupun yang berani bertindak, akhirnya saya membuat laporan ini",High
114,Seksual,Kakak saya sering dipaksa melakukan hubungan badan dengan pacarnya,High
115,Psikis,Suami saya tidak menganggap saya seperti istrinya. Dia sangat sensitif dengan masalah uang. Dia berkali-kali meminta saya cerai karena masalah sepele,Low
116,Seksual,Anak laki-laki saya gay. Dia mengaku saat kecil dulu pernah disodomi oleh orang dari salah satu institusi,High
117,Fisik,Mantan suami saya masih sering menganiaya saya padahal sudah bercerai. Ia juga kerap kali melakukan teror untuk membunuh saya setiap saya tidak mau memberikannya uang..,High
118,Psikis,Tutur kata suami saya tergadap keluarga saya cenderung merendahkan dan membuat malu di hadapan publik. Dia sering meremehkan keluarga saya,Low
119,Fisik,Ibu saya sering disiksa hingga masuk ke rumah sakit,High
120,Seksual,"Sungguh laknat sekolah O, anak laki-laki saya masih SMP DISODOMI oleh guru-guru yang mengajar disana. Kurang ajar, anak saya sampai trauma. Saya sangat marah",High
121,Seksual,Anak saya berumur 14 tahun diperkosa gurunya dan anak saya memiliki trauma besar sekarang. Dia tidak mau sekolah,High
122,Eksploitasi,Di daerah x saya melihat ada pengemis yang meminta-minta sambil menggendong bayi yang tidur namun bayinya terlihat aneh. Sepertinya bayinya dibius untuk terus tidur,High
123,penelantaran,Kemarin saya menemukan seorang anak di dalam rumah kosong menangis sendirian,High
124,Fisik,Kalau mamah emosi biasanya suka mukul aku,Low
125,Seksual,Ayah memaksa saya menjual diri ke tetangga yang kaya. Saya merasa saya sudah tidak punya harga diri lagi,High
126,Psikis,Saya letih dengan ucapan ibu saya yang terus-terusan menghujat saya karena saya gagal masuk sekolah negeri,Low
127,Seksual,saya ingin melaporkan kekerasan seksual yang dialami oleh sahabat saya yang diperkosa oleh guru saya di SMA X,High
128,Psikis,Suami saya suka berbicara kotor di depan anak,Low
129,Seksual,Saya ingin melaporkan bahwa ada pemerkosaan yang terjadi di kawasan perumahan saya. Sang pelaku mengincar anak-anak kecil dan membius mereka,High
130,Seksual,"Selamat pagi, saya bekerja di salah satu perusahaan penerbangan sebagai pramugari. Saya dipaksa untuk melakukan hubungan badan oleh direktur utamanya jika tidak ingin dipecat. Saya akhirnya dipecat sekarang. Tapi saya ingin melaporkan hal ini karena banyak teman-teman saya yang terjebak disana",High
131,Seksual,Di jalan depan gang saya banyak orang yang mengeluhkan adanya begal payudara,High
132,Fisik,Tetangga saya sekarat dan masuk rumah sakit karena sering dianiaya suaminya,High
133,Seksual,Pada saat pulang dari kantor saya diperkosa oleh segerombolan orang tidak di kenal di dekat jalan flamboyan nomor x mohon tindakannya,High
134,Psikis,Suami saya sering merendahkan saya di depan koleganya. Ia juga sedang dekat dengan wanita lain,Low
135,Fisik,"Kemarin saya melihat tetangga saya membunuh istrinya dengan pistol. Mayatnya disembunyikan di belakang rumah, saya sangat takut mau cerita ke siapa. Semoga bisa segera ditangani",High
136,Fisik,"Suami saya sering berjudi dan melakukan kekerasan fisik seperti memukul badan dan tangan kaki saya, hingga pernah suatu ketika tangan saya patah.",High
137,Fisik,"Saya menikah sirih dengan lelaki yang kasar, dengan seenaknya ia melakukan kekerasan pada saya",High
138,Seksual,Sekolah beserta asramanya sering melakukan kekerasan seksual oleh staff kepada murid didiknya,High
139,Fisik,"Aku kurus, jarang dikasih makan dan sering dianiaya ibu kalau ngga dapet ranking",High
140,Seksual,Ayah saya memaksa saya untuk memenuhi nafsu birahinya jika tidak mau saya tidak diperbolehkan untuk berangkat sekolah,High
141,Psikis,"Tetangga saya benci sekali dengan anaknya. Dia ga segan-segan untuk mukul atau ngata-ngatain anaknya babi, anjing, monyet, dan segala umpatan binatang lainnya",Low
142,Seksual,"Saat saya pulang les, saya bertemu dengan begal bokong. Saya malu sekali",Low
143,Fisik,Suami saya mengancam akan membunuh saya jika tidak mengikuti perintahnya yang padahal sepele. Dia sangat kejam dan suka memukul,High
144,Psikis,"Di kalangan ibu-ibu beredar gosip bahwa saya adalah istri simpanan. Saya tidak tahu bagaimana cara mengatasinya, setiap hari saya stres dan suami saya jadi percaya oleh gosip tersebut",Low
145,trafficking,"Saya ketua RT di desa X ingin melaporkan adanya perdagangan manusia di daerah saya, banyak korban yang meminta untuk dipulangkan dan saya butuh bantuan",High
146,penelantaran,tetangga saya menelantarkan anaknya ke jalanan di kota x,High
147,Fisik,"Anak saya ditahan oleh bapaknya dan tidak boleh bertemu dengan saya. Selama ia bersama dengan bapaknya, ia selalu dianiaya hingga sering masuk ke rumah sakit",High
148,Fisik,Suami saya orangnya sangat bengis. Dia tanpa segan bisa menyakiti saya dengan pisau,High
149,Seksual,"Saya ingin melaporkan tetangga saya yang telah melakukan tindak kekerasan seksual terhadap anak saya, anak saya dipaksa dan disetubuhi sampai mengalami gangguan mental. Saya meminta keadilan",High
150,Psikis,Ayah aku suka ngebentak dan ibu aku juga sama,Low
151,Psikis,Saya sangat ketakutan jika bertemu dengan guru di sekolah. Dia pernah mencium saya secara tiba-tiba. Padahal kami berbeda 10 tahun,High
152,Fisik,"Di sekolah X, tempat anak saya sekolah, menghukum anak didiknya dengan menyiram air kotoran. Tolong segera diusut",Low
153,Fisik,Saya yatim piatu dan tinggal dengan om sekarang. Tapi om saya sering memukul saya,High
154,Fisik,"Tanteku tinggal di rumahku sekarang. Kalau aku ngga nurutin suruhan dia, dia pasti mukul aku pakai tangan",High
155,Psikis,"Ibu aku bipolar dan suka ngga stabil emosinya. Aku masih SMP dan sering merasa ngga berharga di depannya, soalnya ibu sering ngatain aku anak ngga berguna. Aku sedih banget.",Low
156,Fisik,Ayah saya sering melakukan kekerasan fisik dan verbal kepada ibu.. ibu saya sampai punya gangguan mental,High
157,Seksual,pacar saya memaksa saya untuk berhubungan badan dengannya jika tidak mau saya diancam akan ditinggalkan,High
158,Psikis,"Saya takut dengan bapak saya. Dia selalu memiliki tatapan merendahkan setiap bertemu saya. Setelah saya telusuri, ternyata saya bukanlah anak kandungnya. Saya adalah anak diluar hamil ibu dengan laki-laki lain.",Low
159,Fisik,"Ibu saya selalu mendapatkan kekerasan dari saudara laki-lakinya, tapi tidak ada yang berani melawan",High
160,Psikis,Saya dihamili pacar dan sekarang sudah melahirkan anak kembar. Tapi pacar saya tidak mau bertanggung jawab dan kabur. Padahal saya masih sekolah SMK,High
161,Fisik,"Kenalan saya berumur 12 tahun telah dihamili oleh seorang laki-laki, tapi laki-laki tersebut tidak mau mengaku sedangkan kenalan saya mengadu pada orang tuanya.",Low
162,penelantaran,saya menemukan sekelompk anak yang ditinggalkan orangtuanya di daerah x,High
163,Seksual,Dosen di kampus saya suka mengancam saya melakukan perilaku seksual jika tidak ingin mendapatkan nilai D,High
164,Seksual,Saya diperkosa oleh teman seangkatan saya. Awalnya dia bilang mau menginap karena tidak memiliki tempat tinggal. Saya izinkan dia menginap di rumah saya. Tapi saat malam tiba-tiba dia masuk ke kamar saya dan mulai melaksanakan aksinya. Saya marah besar dan merasa sangat malu dan terkhianati.,High
165,Seksual,"Selamat pagi, saya ingin melaporkan kejadian pemerkosaan yang dialami oleh teman saya selama mengikuti kegiatan KKN di desa X dan butuh bantuan psikolog klinis untuk segera dilakukan konseling. terimakasih.",High
166,Fisik,Ayah kerapkali melakukan penganiayaan terhadap ibu,High
167,Psikis,"Suami saya sering mengatai saya anjing, babi, monyet dan segala ucapan kasar lainnya",Low
168,Fisik,Ayah sering memukul bunda dengan pentungan sampai berdarah,High
169,Psikis,Saya sering disebut dengan sebutan binatang oleh orang tua saya.,Low
170,Psikis,"Karena pengaruh kantor, suami saya jadi sering mabuk dan mengatai saya dengan umpatan yang kasar",Low
171,Seksual,Saya perempuan dan kolega saya juga perempuan. Dia sangat sinting. Saya dan dia sedang menginap di hotel untuk keperluan bisnis. Tapi tiba tiba tangan saya diikat dan tubuh saya mulai dia gerayangi. Saya snagat jijik padanya,High
