ID,kategori,isi_laporan,sentimen
334,Fisik,Saya sering dipukuli ayah ketika saya menasehatinya tentang berjudi,High
335,penelantaran,orangtua saya suatu hari meninggalkan saya sendirian di bawah jembatan,High
336,Fisik,Kakak saya sering melakukan kekerasan fisik pada saya.,Low
337,Fisik,Staff di institusi X melakukan penganiayaan kepada adik saya hingga adik saya masuk ke rumah sakit dan perlu dirawat hingga sekarang,High
338,Psikis,"Papa saya pengangguran, dua hari lalu saya pergoki bertemu dengan wanita lain. Di rumah dia sering mengambil uang mama (mama adalah wanita karir) dan mengata-ngatai mama. Mama ingin bercerai namun mama sering diancam",High
339,Psikis,Aku dikatain goblok dan tidak diberikan makan sama mama. Padahal aku ga buat salah apa-apa. Mama selalu mabuk setiap malam,Low
340,Fisik,Tetangga saya sering menendang anaknya sebagai bentuk hukuman ketika anaknya berbuat salah,Low
341,Seksual,"Di sekolah Z, saya menemukan kasus pencabulan oleh guru pada muridnya",High
342,Fisik,Saya sudah pisah dengan mantan suami karena selalu dianiaya fisik sampai saya trauma. Selama 6 bulan dia selalu meneror untuk membunuh saya. Saya ingin lepas darinya..,High
343,Fisik,Teman saya sering dibully oleh suatu kelompok karena mereka merasa senang membully orang lain. Mereka sudah melakukan kekerasan fisik dengan benda tumpul,High
344,Fisik,"Ibu kasar banget sama aku, dia suka main tangan kalo aku nakal",Low
345,penelantaran,malam ini saat saya mendengar suara tangis seorag bayi di ujung gang dan ternyata benar ada bayi yang ditelantarkan oleh orangtuanya,Low
346,penelantaran,waktu itu saya mendengar ada suara tangisan bayi di dalam rumah kosong dan pada saat saya cek ada seorang anak  batyi ayng ditinggal di dalam rumah,Low
347,Fisik,Ayah suka banget mukulin dengan keras kalo aku nakal sedikit. Ga jarang aku ke dokter gara-gara perlakuan ayah,High
348,Psikis,Ibu saya sering tidak percaya pada saya dan merendahkan kemampuan saya hingga saya sangat ketakutan untuk hidup dan pernah berpikir untuk bunuh diri,High
349,Psikis,Papa dan Mama suka mengatai saya tai. Hal itu membuat saya tidak aman karena mereka juga tidak terlihat sayang pada saya,Low
350,Eksploitasi,Saya melihat banyak anak jalanan yang harus berjualan tisu di daerah X dan uangnya harus disetor ke preman setempat,High
351,Eksploitasi,"tolong saya, saat ini saya dipaksa untuk berjualan dagangan oleh preman di dekat rel kereta x",High
352,Psikis,"Kakak aku Anak Berkebutuhan Khusus, dia sering  dipermainkan oleh teman sekolahnya dan diketawakan karena keterbataasannya",Low
353,Seksual,"Mohon bantuannya, keponakan saya dilecehkan oleh gurunya di sekolah dan mengalami trauma",Low
354,Seksual,anak saya dipaksa dan diperkosa oleh teman-temannya di sekolah dan saya butuh keadilan untuk menuntut mereka,High
355,Psikis,Saya melihat ada ibu hamil dan anaknya dibentak wanita di gerbong kereta. Mereka meminta kursi di priority seat tapi wanita tersebut malah membentak dan berkata bahwa ia letih,Low
356,Seksual,Adik saya masih TK baru saja mengalami kekerasan seksual yang dilakukan oleh guru laki-lakinya,High
357,Psikis,Di sekolah Y menghukum murid-muridnya dengan menggantungkan sepatu di lehernya dan berlari keliling pusat pemerintahan,Low
358,Seksual,Teman saya yang menginap di rumah saya sungguh kurang ajar. dia telah melecehkan saya. Dia tiba tiba mengendap ke kamar saya dan mulai menyetubuhi saya,High
359,Psikis,Suami saya setelah pulang kerja biasanya akan membentak saya. Berkata bahwa ia letih. padahal saya di rumah juga capek mengurus anak dan rumah,Low
360,Fisik,"Omku suka bermain tangan kepadaku jika aku berkunjung ke rumahnya. Alasannya karena dia mabuk. Biasanya dia memukul, menjitak, dan menamparku dengan keras",High
361,Fisik,"Anak tetangga saya dididik secara tidak manusiawi dengan ibunya, seperti membanting anaknya ke tanah",High
362,penelantaran,anak tetangga saya ditinggal pergi oleh ayahnya yang terkenal suka judi,High
363,Psikis,"Beberapa hari lalu di supermarket, saya melihat ada bapak-bapak mencuri. Lalu ada anak SD yang melaporkan hal tersebut. Dia membentak anak SD dan mengancam akan membunuhnya jika semua orang tahu. Anak tersebut terlihat sangat trauma",High
364,Seksual,"Mohon bantuannya, pembantu di rumah tetangga saya diperkosa oleh majikannya dan diancam akan dipecat jika tidak memenuhi permintaannya",High
365,Psikis,Keponakan saya dikatai monyet oleh teman-temannya,Low
366,Psikis,Orang tua saya kerap kali memaksa saya untuk belajar penuh dan tidak akan memberikan makan jika tidak belajar,High
367,Seksual,Anak sy enggan makan itu knp y.. bnyk bekas merah di tubuhnya jg... dia jg sk diem akhirMedium ini,High
368,Seksual,Bapak tiri saya sering melakukan pemerkosaan terhadap saya..,High
369,Seksual,"Di kosan saya terdapat kasus pencurian celana dalam, dan beberapa hari lalu sang pelaku menuliskan surat ingin melakukan hubungan badan dengan saya. Saya sangat takut dan jijik",Low
370,Fisik,Adik saya albino dan sering mendapatkan kekerasan fisik oleh teman-temannya,High
371,Seksual,Pada saat melakukan pengakuan dosa di dalam kapel saya dilecehkan oleh romo yang bertugas pada saat itu. Dada saya di raba-raba dan bibir saya dicium,Low
372,Fisik,Papa sama mama kerap bertengkar tapi main fisik hingga mamah sering lebam lebam,High
373,Seksual,Teman saya perempuan. Tapi dia suka memegang dada dan bokong saya. Saya merasa tidak nyaman. Ada rumor juga mengatakan bahwa dia tidak lurus,High
374,Fisik,Ibu aku suka mukulin aku,High
375,Seksual,ANAK SAYA DIPEGANG PEGANG OLEH TETANGGA. MASALAHNYA TETANGGA SAYA INI MEMEGANG DADA DAN PANTAT ANAK SAYA DENGAN MUKA MESUM,High
376,Psikis,"Setelah melahirkan, suami saya tidak pernah peduli dengan saya. Ia bilang fisik saya jelek dan ia tidak suka lagi. Sekarang ia pergi dengan wanita lain. Saya sangat stress akan hal ini",Low
377,Psikis,Perlakuan suami saya sering merendahkan keluarga saya yang berada pada keluarga susah,Low
378,Psikis,Institusi B sangat mengecewakan. Mereka mempermalukan staffnya di depan khalayak publik dengan menceritakan aib-aib yang mereka punya,Low
379,Psikis,"Sebelumnya aku pikir ibu ngga kenapa-napa, tapi semenjak ditinggal ayah, ibu jadi semakin emosional dan ngelontarin emosinya ke aku dengan umpatan kasar",Low
380,Fisik,Saya dan anak saya ditelantarkan oleh suami. Tidak dinafkahi,Low
381,Seksual,Bapak saya sering melakukan kekerasan seksual pada saya,High
382,penelantaran,Sudah satu bulan bapak tidak pulang kerumah dan saya sendirian di rumah,High
383,penelantaran,anak murid saya dilarang pergi ke sekolah oleh orangtuanya dan dipaksa bekerja,High
384,Eksploitasi,Aku disuruh mengemis sama mama di trotoar setiap hari dari jam sembilan sampe jam lima sore ,Low
385,Seksual,"Mohon bantuannya, pria ini memaksa saudara saya untuk mememnuhi hasratnya dengan iming-iming akan diberikan pekerjaan",High
386,Fisik,Anak saya sedang bermain dengan teman-temannya di komplek disiram air comberan yang benuh bakteri oleh tetangga,Low
387,Fisik,Anak saya dilempar oleh penghapus papan tulis oleh gurunya saat dia berisik,Low
388,Seksual,Ibu saya sering dipaksa melakukan hubungan badan dengan tetangga. Jika tidak dia bisa diancam dibunuh,High
389,penelantaran,papaku ninggalin aku di depan gang x dan gapernah balik lagi,High
390,Seksual,"mohon bantuannya, dosen di kampus Z telah melakukan kekeraasan seksual kepada mahasiswanya dengan mengancam menggunakan nilai akhir semester",High
391,Fisik,"Saya anak broken home. Sekarang saya tinggal bersama ibu. Saya dituntut untuk memiliki nilai yang sempurna di sekolah karena jika tidak, saya akan dipukul dengan bat baseball oleh ibu saya. Perut saya memar parah, saya sudah berusaha mencoba lapor polisi namun tidak digubris",High
392,Psikis,Papa saya seringkali menghina saya sebagai anak buangan semenjak mama saya meninggal,Low
393,Psikis,Anak tentangga saya sering direndahkan oleh tetangga lainnya karena memiliki keterbatasan mental,Low
394,Psikis,Suami saya sering mengurung saya dan tidak membolehkan saya keluar. Saya kan juga ingin memiliki kehidupan di luar rumah.. Tapi dia selalu melarang dan mengancam saya jika saya berani membantah,High
395,penelantaran,"Di dekat rel kereta rumah saya ada anak yang kebingungan mencari orangtuanya. setelah ditanya, ternyata dia ditinggalkan oleh ayahnya",High
396,Fisik,"Adik saya dijebak oleh teman-temannya, dia disuruh pergi untuk beli aksesoris,yang ternyata di dalam aksesorisnya ada narkoba",Low
397,penelantaran,saat saya sedang berjalan hari ini saya mendengar suara bayi di dekat kali. Setelah saya selidiki ternyata ada seorang anak bayi diatas rak yang mengapung,Low
398,Seksual,"Pada saat adik saya pulang sekolah, ia tiba-tiba dicegat seorang pria dan pria tersebut langsung melakukan masturbasi. Adik saya menangis dan mengaku trauma",Low
399,Fisik,Ayah selalu memukuli saya dan ibu jika mabuk. Ia bisa memecahkan botol dan menghantamkannya kepada kami hingga berdarah-darah.,High
400,Psikis,Kemarin tetangga saya ribut besar dengan suaminya. Suaminya mengata-ngatai istrinya dengan sebutan anjing,Low
401,Psikis,Keluarga di sebelah rumah saya tidak main-main dalam memarahi anaknya yang masih TK. Mereka suka mengata-ngatai anaknya tanpa dipikirkan terlebih dahulu dampak kedepannya.,Low
402,Psikis,Suami saya sering mengucapkan kata-kata kasar pada saya dan anak saya. Dia juga sering mengumpat dan mengatai kami,Low
403,Fisik,Suami saya sering menyiksa saya hingga berdarah,High
404,Fisik,"Ayahku ini baru meninggal dan ternyata punya istri lain. Dan ternyata ayah pernah menikah dengan wanita lain, pas aku ke rumahnya, aku dan ibu malah ditampar dan dimintai uang",Low
405,Fisik,Anak tetangga saya pergi ke rumah neneknya karena mengaku sering dianiaya bapaknya di rumah,High
406,Psikis,Suami saya tidak pernah memberikan saya kasih sayang. Dia sangat bengis dan kata-katanya sungguh kasar,Low
407,Seksual,"tolong saya, sekarang saya sedang bersembunyi di dalam lemari. Ada gerombolan penjahat yang masuk ke rumah dan sekarang sedang memperkosa ibu saya",High
408,Seksual,Koko saya pernah mengalami sodom oleh teman-temannya hingga membuat dia trauma,High
409,Seksual,"Saya pernah ke rumah teman saya. Disana saya tanpa sadar tertidur, lalu om teman saya dengan tiba-tiba mencium bibir saya. Saya tidak berani melapor",Low
410,Fisik,"Adek saya kelas 6 SD gamau sekolahh, gamau ikut ekskul, gamau bersosialisasi, dia cuma diam aja di rumah. Bagaimana cara membujuknya?",Low
411,Seksual,Anak saya dipaksa oleh tetangga saya untuk berhubungan badan,High
412,Psikis,Teman saya adalah anak berkebutuhan khusus. Dia sering dibully baik fisik dan psikis. ,High
413,Fisik,Aku gatau kenapa ibu suka banget main tangan kalau aku ga dapet nilai yang bagus,Low
414,Seksual,"Adik laki-laki saya ikut asrama laki-laki di SMP Y, ternyata kakak kelasnya banyak yang mesum dan sering ada kasus sodom disitu. Adik saya jadi ketakutan",High
415,Psikis,"Kemarin pak X, guru saya di sekolah, mengata-ngatai saya di depan kelas sebagai anak idiot",Low
416,Seksual,Keluarga saya tak hentinya menenangkan saya setelah saya bicara bahwa saya pernah diperkosa saat sd oleh om. Nsmun sampai sekarang saya masih trauma,High
417,Eksploitasi,Kakak saya mengancam saya jika tidak mau mengemis hari ini saya akan diusir dari rumah,High
418,Psikis,Saya melihat seorang anak diancam akan dibunuh oleh pencuri jika aksi jahatnya dilaporkan,High
419,Seksual,Anak laki-laki saya tidak berani mengakui bahwa dia pernah melecehkan teman sekelasnya,Low
420,Fisik,Keponakan saya sering dicubit tetangganya,Low
421,Fisik,Ayah saya dan ibu saya suka bertengkar sambil melempar barang. Saya malu dengan teman-teman kalau lagi ke rumah,High
422,Seksual,"Saya sering diancam oleh kepala sekolah saya untuk melakukan hubungan badan, jika tidak saya bisa dikeluarkan dari sekolah. Saya tidak punya uang untuk mendaftar di sekolah lain karena di sekolah saya sekarang ini saya dibiayi kepala sekolah",High
423,Fisik,Saya menemukan seorang guru TK yang katanya mendisiplinkan anak berumur 5 tahun dengan membuka baju dan menyiramkan air kepadanya. Kejadian ini sudah lama terulang. Tolong proses segera,Low
424,Seksual,"Kemarin aku nemu perempuan diikat dan diperkosa oleh segerombolan orang di bawah jembatan. Aku sangat takut.. Akhirnya perempuan tersebut saya hampiri setelah segerombolan orang itu pergi. Dia merasa sangat trauma. Awalnya dia diiming-imingi pekerjaan, tapi ternyata diculik dan diperkosa. Mohon usut penipu tersebut",High
425,Seksual,"Saya sering merasa tidak sadarkan diri setiap pulang sekolah dan terbangun di kamar tanpa busana. Setelah saya taruh CCTV di kamar, ternyata ayah tiri saya membius saya dan memperkosa saya",High
426,Fisik,Ayah saya sering menyiram saya dengan air panas hingga kulit saya melepuh. Dia melakukannya setiap malam karena mabuk,High
427,Seksual,"Sahabat saya memiliki keterbelakangan mental dan ia dipaksa oleh ayah, adik, dan kakaknya untuk disetubuhi",High
428,Fisik,ibu sering memukul saya membuat saya lebam-lebam,High
429,Psikis,"Suamiku sering mengatai aku sebagai istri yang bodoh, dia juga suka pergi tanpa alasan yang jelas. Setelah hari itu, dia sudah tidak memberikan nafkah lagi. Sekarang saya harus mencari uang untuk anak saya",Low
430,Seksual,Tetangga saya sering mengeluhkan kekerasan seksual yang dilakukan oleh suaminya,High
431,Seksual,"Omku sangat dekat denganku sejak kecil. Dia memang suka memegangku, mengelus, dan segala kontak fisik lainnya. Tapi sekarang saya sudah kuliah dan dia masih sering melakukan hal itu. Saya merasa tidak aman",High
432,Psikis,Saya dibully karena tidak mau memberikan jawaban ujian oleh kelompok anak-anak yang jarang belajar. Saya sering diancam setiap pulang sekolah kalau tidak memberikan jawaban,Low
433,Psikis,Beberapa minggu lalu suami saya mengancam akan membunuh saya,High
434,Seksual,"Setiap pulang sekolah, saya biasa saya melewati gang yang biasa saya lewati. Tapi kemarin saya bertemu dengan begal payudara. Saya merasa sangat malu dan takut. Saya melihat plat nomor motornya dan menemukan bahwa ia adalah tetangga saya. Saya bingung mau lapor kemana supaya dia dihukum seberat beratnya",High
435,Fisik,"Suami saya menampar keponakan yang berusia 6 tahun, sampai sekarang trauma dan tidak mau ke rumah lagi..",Low
436,Fisik,"Pacar saya telah menghamili saya, namun dia tidak mau bertanggung jawab",Low
437,penelantaran,Saya ingin melaporkan anak tetangga saya ditelantarkan oleh ayahnya yang merupakan pengguna narkoba,High
438,Fisik,"Ibu sering banget mukul kepala aku ke tembok, aku ke rumah sakit sama tante dan didiagnisos gegar otak",High
439,Psikis,"Suami saya seperti tidak menyayangi saya. Ketika saya tanya untuk apa saya menjadi istrinya, dia bilang saya adalah pembantu",Low
440,Seksual,Saya sering dilecehkan oleh teman laki-laki saya. Dia bilang bercanda tapi saya marah sekali. Mentang-mentang mereka teman saya mereka pikir bisa dengan seenaknya memegang tubuh saya?,Low
441,Fisik,Perginya ibu dar rumah menyebabkan ayah melampiarskan emosinya dengan tangan pada saya,High
442,Seksual,Kakak saya dipaksa ibu saya untuk sering melakukan hubungan intim dengan bossnya agar ibu saya naik pangkat,High
443,Fisik,Sekolah X suka banget nyiramin air comberan ke anak didiknya sebagai hukuman.,Low
444,Fisik,"Anak saya dipisahkan oleh saya dan sekarang jatuh pada asuhan mantan istri saya. Tapi selama ini, mantan istri saya tidak mengurus anak saya dengan benar",Low
445,Fisik,Kemarin di taman saya menemukan tetangga yang sedang memukuli anak-anak,High
446,Seksual,"Saat itu saya sedang masuk ke ruangan meeting bos saya,tapi tiba tiba ruangan tersebut dikunci dan saya mulai dilemahkan dengan bius. Saya tidak sadarkan diri dan ketika sadar saya sudah berada dalam keadaan tanpa busana. Saya benci sekali dengannya tapi saya juga takut untuk mengkonfrontasinya",High
447,Seksual,"Ketika pulang ngantor, tiba tiba dari arah belakang saya mendapati diri saya dipegang dadanya oleh orang kurang ajar",High
448,Psikis,Suami saya sering pergi ke diskotik dan pulang mabuk. Saya sering dikatai oleh kata-kata kasar olehnya.,Low
449,Seksual,Saat pulang sekolah saya dipanggil ke ruang kepala sekolah dan dilecehkan dengan memegang dada dan bagian bawah tubuh saya,Low
450,Seksual,"Saya sering dilecehkan teman saya. yang paling parah adalah kemarin. Karena udah sering dilecehkan, saya akhirnya diculik dan diperkosa",High
451,Fisik,Anak kenalan aku sering dibanting sama ibunya ke tanah. Sering ke rumah sakit anaknya karena mulai ada keanehan di tulangnya,High
452,Fisik,"Kakak sudah menikah, dan ia sering mengalami kekerasan dalam rumah tangga dan sering masuk ke rumah sakit. Ia juga menjadi pasien di rumah sakit jiwa sekarang karena mentalnya terganggu",High
453,Fisik,Papa sering banget mukulin mama. Sering juga menganiaya pake senjata tajam,High
454,trafficking,"tolong, saat ini saya sedang bersembunyi di pelabuhan x di bagian sebelah barat saya akan dijual oleh bapak y",High
455,Psikis,Menantu saya sangat tidak menghargai saya sebagai menantu. Mungkin karena anak pertamanya saya nikahi. Dia sering mengatai saya mantu tidak berguna dan berucap kata-kata kasar,Low
456,Fisik,Papa saya sering menyakiti mama dengan melakukan kekerasan fisik,High
457,Psikis,"Kemarin sore aku pergi ke taman dan lihat pembullyian anak SD oleh suatu geng. Ia dipermalukan bersama teman-temannya. Saya akhirnya mencoba melindunginya, tapi saya takut hal tersebut akan terjadi kembali.",High
458,Eksploitasi,Bapak saya menyuruh saya mengamen dan mengasong barang dari pagi sampai sore,High
459,penelantaran,tolong saya dibuang oleh ibu saya ke jalanan,High
460,trafficking,Kemarin malam saya melihat ada sekelompok orang yang dimasukkan ke kontainer di pelabuhan x,High
461,Fisik,Anak saya suka dicubit kakak tirinya,Low
462,Fisik,Ibu saya sering kehilangan kesadaran kalau dianiaya ayah yang lagi emosi,High
463,Fisik,"Saya mengalami kekerasan dalam rumah tangga. Suami saya mencuri seluruh tabungan saya untuk berjudi. Ketika pulang, ia selalu dalam keadaan mabuk dan mulai melakukan kekerasan fisik pada saya",High
464,Fisik,"Papa suka banget menganiaya aku, akhirnya kemarin aku sama om ke rumah sakit, ternyata tulang ekor aku bermasalah",High
465,Seksual,"Siang,, pak, bu, tolong, anak saya habis diperkosa oleh tetangga saya. Anak saya padahal masih dibawah umur.. Sekarang dia tidak mau makan dan melanjutkan aktivitas. Setiap hari hanya bisa menangis",High
466,Seksual,"Saya melihat adanya kekerasan seksual di bawah jembatan pagi tadi. Saat ditelusuri, si perempuan ini ternyata dibius oleh teman sekampusnya",High
467,Psikis,Ayah tiri suka mengatai ibu babi dan saya tidak nyaman ketika dia mengatakannya,Low
468,Seksual,Ibu saya belum bisa mengembalikan uang dan akhirnya diperkosa oleh tetangga saya secara paksa ,High
469,Seksual,"Anak tiri saya sangat pendiam. Saat saya tanya lebih dalam, ternyata ia pernah dilecehkan dan diperkosa om-om di dekat rumahnya",High
470,Psikis,Suami saya mengurung saya di dalam rumah membuat saya tidak berdaya dalam melakukan apapun,High
471,Psikis,Aku sering banget dirasisin temen temen karena kulitnya hitam,Low
472,Seksual,Teman saya sering dilecehkan karena pakaiannya yang terlalu terbuka,Low
473,Fisik,Istri saya bertengkar dengan tetangga tapi anak saya yang jadi korban terkena lemparan batu,High
474,Psikis,"Ayah aku suka banget marahin aku dengan kata kasar, emang ngga main tangan sih, tapi kata-katanya nyakitin banget",Low
475,Fisik,"Aku ingin bunuh diri, ibu selalu menganiaya aku pakai senjata tajam. Kulit aku sering disayat. Aku depresi",High
476,Fisik,Badan saya selalu dipukul dengan benda keras oleh anak tiri saya.,High
477,Psikis,Ibu aku suka banget maksa dengan nada yang kasar. Dia ngatain aku ga berguna tapi ngarepin bantuan aku.. Aku benci banget sama ibu,Low
478,Seksual,Lelaki yang saya nikahi ternyata sering memaksa saya untuk melakukan hubungan badan dengan lelaki lain. Saya merasa dipaksa dan takut,High
479,Fisik,Anak saya dicubit oleh omnya karena gemas,Low
480,Psikis,"Ibu saya sering memaksa saya belajar keras, sehingga saat saya pergi ke psikolog, saya didiagnosis memiliki gangguan skizofrenia",High
481,Seksual,Saya menemukan anak tetangga (perempuan) yang diperkosa setiap malam oleh ketua RT. Saya tidak berani membelanya,High
482,Seksual,Setiap hari saya dipaksa untuk melayani om saya untuk memenuhi hawa nafsunya,High
483,Seksual,TOLONG ANAK LAKI LAKI SAYA DISODOMI TEMANNYA DI ASRAMA SEKOLAH.,High
484,Seksual,Kemarin sore saya melihat seorang wanita dibius dan diperkosa oleh beberapa pria dan dibawa di toilet umum,High
485,Seksual,Anak tetangga saya saat masih kecil pernah dicabuli oleh staf dari sekolahnya. sekarang ia trauma,High
486,Seksual,Aku menggunakan pakaian tertutup jika keluar rumah. Tapi segerombolan laki-laki tiba-tiba melecehkan saya karena dada saya yang besar. saya sangat malu dan ingin menangis.,Low
487,Seksual,"Sehabis pulang kerja kemarin, saya meninggalkan anak sendirian di rumah. Ternyata ada maling masuk dan sedang melakukan pemerkosaan pada anak saya. Saya menjerit dan anak saya menangis. Anak saya sekarang trauma.. mohon diusut",High
488,Eksploitasi,Tetangga saya menyewakan bayinya untuk dibawa berkeliling oleh para pengemis,Low
489,trafficking,"Selamat pagi, saya ingin melaporkan adanya aktivitas mencurigakan yang diduga perdagangan orang di daerah saya yang beralamatkan jalan melati nomor sepuluh",High
490,Seksual,Paman saya suka memasang wajah cabul dan ketika saya tidur saya merasa dia menggerayangi saya,High
491,Fisik,"kenalan saya sekolah di SMP A, dia terkena bully hingga dipukuli, ditendang, ditampar dan dianiaya kelompoknya",High
492,Eksploitasi,kemarin saya melihat preman di jalan x saya melihat komplotan preman yang memberikan anak kecil barang asongan untuk dijual,High
493,Psikis,"Suami saya sering mengatai saya goblok, tolol, biadab, dan lainnya. Karena saya menikah dengan dia dijodohkan, jadi tidak ada cinta diantara kita. Saya merasa tersiksa setiap harinya",Low
494,Seksual,"Tolong saya, anak saya diperkosa oleh gurunya di sekolah. Dia jadi pendiam dan tidak mau bersosialisasi",High
495,Psikis,"Ibu saya baru saja menikah lagi dengan pria luar negeri. Tapi pernikahan mereka tidak harmonis. Kerap kali ibu saya dikatakan kata-kata umpatan setiap kali dia mabuk. Ibu saya dikatai pelacur, bajingan, bodoh, tolol, dan kata-kata menyakitkan lainnya.",Low
496,Seksual,"Saya benci dengan kakak ipar saya, dia suka menyentuh bagian dada saya dengan sengaja. Padahal saya sudah memperlihatkan ketidaknyamanan yang saya rasakan",High
497,penelantaran,Ayah saya pergi dan tidak pernah kembali karena tidak sanggup memberi makan saya dan adik,High
498,Fisik,"Kenalan saya mengadopsi anak, tapi karena anak itu sering menangis, kenalan saya sering melakukan kekerasan fisik padanya. Seperti membantingnya, memukulnya, dan menamparnya. Padahal anaknya baru berumur 6 bulan",High
499,Seksual,"Kemarin saya bertemu lagi dengan teman SMA yang sudah lama tidak bertemu. Tapi ternyata saya dijebak, saya ditahan dan diperkosa olehnya lalu setelahnya dia kabur",High
500,Seksual,"Perilaku anak saya terlihat aneh dan ketakutan. Saat saya tanya, ternyata dia habis dipaksa melakukan hubungan badan dengan tentangga",High